"","city_no","walk_no","reward","H","B","A","v","subjID","mean","sd","best_leaf","best_reward","worst_leaf","worst_reward","step_reward","perc_reward","regret","step_regret","perc_regret","score","zreward"
"674",18,14,231,4,2,0.5,3,"A1XA2WZVXTTLOI",205.5,20.2907438432968,13,232,15,179,77,0.962264150943396,1,0.333333333333333,0.0377358490566038,0.981132075471698,1.25673066482598
"675",18,15,232,4,2,0.5,3,"A1XA2WZVXTTLOI",205.5,20.2907438432968,13,232,15,179,77.3333333333333,1,0,0,0,1,1.30601422030935
"676",19,1,96,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,48,-1,7,3.5,2,0,-1.3907589749183
"677",19,2,102,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,51,0.714285714285714,1,0.5,0.285714285714286,0.833333333333333,0.993399267798784
"678",19,3,95,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,47.5,-1.28571428571429,8,4,2.28571428571429,0,-1.78811868203781
"679",19,4,103,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,51.5,1,0,0,0,1,1.3907589749183
"680",19,5,101,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,50.5,0.428571428571429,2,1,0.571428571428571,0.666666666666667,0.59603956067927
"681",19,6,98,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,49,-0.428571428571429,5,2.5,1.42857142857143,0.166666666666667,-0.59603956067927
"682",19,7,98,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,49,-0.428571428571429,5,2.5,1.42857142857143,0.166666666666667,-0.59603956067927
"683",19,8,107,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,53.5,2.14285714285714,-4,-2,-1.14285714285714,1,2.98019780339635
"684",19,9,99,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,49.5,-0.142857142857143,4,2,1.14285714285714,0.333333333333333,-0.198679853559757
"685",19,10,103,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,51.5,1,0,0,0,1,1.3907589749183
"686",19,11,96,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,48,-1,7,3.5,2,0,-1.3907589749183
"687",19,12,98,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,49,-0.428571428571429,5,2.5,1.42857142857143,0.166666666666667,-0.59603956067927
"688",19,13,97,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,48.5,-0.714285714285714,6,3,1.71428571428571,0,-0.993399267798784
"689",19,14,99,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,49.5,-0.142857142857143,4,2,1.14285714285714,0.333333333333333,-0.198679853559757
"690",19,15,99,3,2,2,1,"A1XA2WZVXTTLOI",99.5,2.51661147842358,6,103,4,97,49.5,-0.142857142857143,4,2,1.14285714285714,0.333333333333333,-0.198679853559757
